brand,name,price,nam_sx,origin,type_car,km_traveled,gear,condition,fuel
Porsche,Porsche Panamera 3.0 V6 2014,2 tỉ 030 triệu,Năm SX 2014,Xuất xứ Nhập khẩu,Kiểu dáng Sedan,Km đã đi 25.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche Cayenne 2022,5 tỉ 538 triệu,Năm SX 2022,Xuất xứ Nhập khẩu,Kiểu dáng SUV,Km đã đi 16.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche Cayman 2021,3 tỉ 898 triệu,Năm SX 2021,Xuất xứ Nhập khẩu,Kiểu dáng SUV,Km đã đi 10.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche Cayenne Coupe 2021,6 tỉ 300 triệu,Năm SX 2021,Xuất xứ Nhập khẩu,Kiểu dáng SUV,Km đã đi 26.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche 911 Carrera 2022,9 tỉ 500 triệu,Năm SX 2022,Xuất xứ Nhập khẩu,Kiểu dáng SUV,Km đã đi 26.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche Macan 2023,3 tỉ 300 triệu,Năm SX 2023,Xuất xứ Trong nước,Kiểu dáng SUV,Km đã đi 12.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche Macan 2.0 2015,1 tỉ 850 triệu,Năm SX 2015,Xuất xứ Nhập khẩu,Kiểu dáng Sedan,Km đã đi 21.000 km,Hộp số Số tự động,Tình trạng Xe mới,Nhiên liệu Xăng
Porsche,Porsche Cayenne 3.0 2021,5 tỉ 190 triệu,Năm SX 2021,Xuất xứ Nhập khẩu,Kiểu dáng Convertible,Km đã đi 25.750 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche Macan 2.0 2022,3 tỉ 480 triệu,Năm SX 2022,Xuất xứ Nhập khẩu,Kiểu dáng Convertible,Km đã đi 41.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche Cayenne 2014,1 tỉ 890 triệu,Năm SX 2014,Xuất xứ Nhập khẩu,Kiểu dáng SUV,Km đã đi 41.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche Cayenne 3.0 2018,3 tỉ 950 triệu,Năm SX 2018,Xuất xứ Nhập khẩu,Kiểu dáng Sedan,Km đã đi 30.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche 718 Boxster 2017,3 tỉ 190 triệu,Năm SX 2017,Xuất xứ Nhập khẩu,Kiểu dáng Sedan,Km đã đi 55.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche Taycan 2021,4 tỉ 668 triệu,Năm SX 2021,Xuất xứ Nhập khẩu,Kiểu dáng Convertible,Km đã đi 32.187 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche 718 cayman 2020,3 tỉ 990 triệu,Năm SX 2020,Xuất xứ Nhập khẩu,Kiểu dáng Crossover,Km đã đi 70.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
